StateCodes,State,Region,Division,Coast,Great Lakes,TotalC2010,TotalC2011,TotalC2012,TotalC2013,TotalC2014,TotalP2010,TotalP2011,TotalP2012,TotalP2013,TotalP2014,TotalE2010,TotalE2011,TotalE2012,TotalE2013,TotalE2014,TotalPrice2010,TotalPrice2011,TotalPrice2012,TotalPrice2013,TotalPrice2014,TotalC10-11,TotalC11-12,TotalC12-13,TotalC13-14,TotalP10-11,TotalP11-12,TotalP12-13,TotalP13-14,TotalE10-11,TotalE11-12,TotalE12-13,TotalE13-14,TotalPrice10-11,TotalPrice11-12,TotalPrice12-13,TotalPrice13-14,BiomassC2010,BiomassC2011,BiomassC2012,BiomassC2013,BiomassC2014,CoalC2010,CoalC2011,CoalC2012,CoalC2013,CoalC2014,CoalP2010,CoalP2011,CoalP2012,CoalP2013,CoalP2014,CoalE2010,CoalE2011,CoalE2012,CoalE2013,CoalE2014,CoalPrice2010,CoalPrice2011,CoalPrice2012,CoalPrice2013,CoalPrice2014,ElecC2010,ElecC2011,ElecC2012,ElecC2013,ElecC2014,ElecE2010,ElecE2011,ElecE2012,ElecE2013,ElecE2014,ElecPrice2010,ElecPrice2011,ElecPrice2012,ElecPrice2013,ElecPrice2014,FossFuelC2010,FossFuelC2011,FossFuelC2012,FossFuelC2013,FossFuelC2014,GeoC2010,GeoC2011,GeoC2012,GeoC2013,GeoC2014,GeoP2010,GeoP2011,GeoP2012,GeoP2013,GeoP2014,HydroC2010,HydroC2011,HydroC2012,HydroC2013,HydroC2014,HydroP2010,HydroP2011,HydroP2012,HydroP2013,HydroP2014,NatGasC2010,NatGasC2011,NatGasC2012,NatGasC2013,NatGasC2014,NatGasE2010,NatGasE2011,NatGasE2012,NatGasE2013,NatGasE2014,NatGasPrice2010,NatGasPrice2011,NatGasPrice2012,NatGasPrice2013,NatGasPrice2014,LPGC2010,LPGC2011,LPGC2012,LPGC2013,LPGC2014,LPGE2010,LPGE2011,LPGE2012,LPGE2013,LPGE2014,LPGPrice2010,LPGPrice2011,LPGPrice2012,LPGPrice2013,LPGPrice2014,GDP2010Q1,GDP2010Q2,GDP2010Q3,GDP2010Q4,GDP2010,GDP2011Q1,GDP2011Q2,GDP2011Q3,GDP2011Q4,GDP2011,GDP2012Q1,GDP2012Q2,GDP2012Q3,GDP2012Q4,GDP2012,GDP2013Q1,GDP2013Q2,GDP2013Q3,GDP2013Q4,GDP2013,GDP2014Q1,GDP2014Q2,GDP2014Q3,GDP2014Q4,GDP2014,CENSUS2010POP,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014
NE,Nebraska,2,4,0,0,860741,862675,852984,871815,864347,399822,390808,357156,370523,401699,8724.6,9995.9,10138.1,10323.1,10330.1,16.68,19.3,19.87,19.39,19.26,100.2246901,98.87663373,102.2076616,99.14339625,97.74549675,91.38912202,103.7426223,108.4140526,114.5714417,101.4225833,101.8247995,100.0678091,115.7074341,102.9533679,97.58429794,99.32955132,109887,116589,107042,107097,102397,254552,285384,272587,292956,276544,0,0,0,0,0,366.3,437.9,427.6,423.1,395.5,1.44,1.53,1.57,1.44,1.43,101846,101255,105185,104750,103118,2244.2,2338.2,2581.1,2682.6,2671.4,22.03,23.09,24.54,25.61,25.91,666348,690557,668116,705960,691958,1151,1195,1212,1212,1212,0,0,0,0,0,12818,15713,11962,10723,11010,1314,1617,1257,1124,1158,169620,173666,161774,178752,179544,1112.5,1073.9,837.2,994.8,1125,6.87,6.55,5.44,5.8,6.54,12111,10877,9757,12280,10349,236.1,259.5,211.5,287.7,280.1,19.5,23.86,21.67,23.43,27.06,89088,91058,92357,93490,91498.25,97540,98309,99278,101074,99050.25,100457,102392,102509,103294,102163,107893,106244,107195,107418,107187.5,107222,110920,111366,113145,110663.25,1826341,1829865,1842232,1855487,1868969,1881503,14.01814821,13.93345465,13.92955105,13.84412415,8.507945188,8.230479385,7.950154331,7.816616149,5.510203026,5.702975267,5.979396723,6.027508004,1.814222228,2.006101599,2.056139205,2.02907794,-0.64486314,-0.49165445,-0.478459136,-1.360362109,1.169359088,1.51444715,1.577680069,0.668715831
NV,Nevada,4,8,0,0,645604,632655,639190,659568,660256,51846,53807,60252,70208,71140,9246.5,9794.5,10113,10243.6,10513,21.22,23.45,23.8,22.88,23.52,97.99428132,101.0329484,103.1880974,100.1043107,103.7823554,111.9779954,116.5239328,101.327484,105.9265668,103.251825,101.2914071,102.6299348,110.5089538,101.4925373,96.13445378,102.7972028,9739,9375,9154,10021,10681,80228,62701,52850,64838,79230,0,0,0,0,0,195.7,163.1,139.8,180.9,202.6,2.44,2.6,2.65,2.79,2.56,115232,115723,120034,120141,119678,3234.5,2992.8,3098.5,3180,3411.2,28.66,26.43,26.38,26.47,28.5,577325,529486,548427,569355,568174,21631,22419,23886,27022,27499,2070,2146,2347,2670,2729,21047,21284,23223,25588,22719,2157,2191,2440,2682,2389,267808,255970,281432,281972,259438,1885.7,1583,1328.5,1492.7,1638.7,7.17,6.33,4.86,5.39,6.44,4409,4170,4125,4444,4059,120.9,133.6,115.3,134,122.4,28.24,32.43,28.39,30.15,30.14,118127,119209,120398,121350,119771,120040,123290,123404,124243,122744.25,125119,125841,125797,124061,125204.5,125864,125609,127158,129111,126935.5,130783,132879,135167,137380,134052.25,2700551,2703493,2718586,2755245,2791494,2839099,13.22112791,12.6806984,12.64707065,12.48642905,7.453229656,7.457300015,7.663962555,7.708601918,5.767898255,5.223398384,4.983108093,4.777827131,2.746547957,2.860884817,3.032412378,3.003591274,-2.827328779,5.284415979,4.755226449,8.390945678,-0.080780822,8.145300796,7.787638827,11.39453695
NH,New Hampshire,1,1,1,0,294473,292979,284490,304538,310142,156829,131919,129929,166328,161033,5226.7,6071.5,5950.6,6118.6,6360.8,24.21,27.69,28.61,27.88,27.86,99.49265298,97.10252271,107.0469964,101.8401644,84.11645805,98.49149857,128.014531,96.81653119,116.1631622,98.00872931,102.8232447,103.9584219,114.3742255,103.3224991,97.4484446,99.92826399,33502,33745,35301,40393,43200,33827,24489,14191,16778,14867,0,0,0,0,0,128.5,87,57.8,70.6,63.5,3.8,3.55,4.07,4.21,4.27,37157,37084,37089,37680,37341,1615.8,1602.2,1542.8,1579.1,1665.7,43.48,43.2,41.6,41.91,44.61,242475,242846,224415,214922,225508,28,27,29,29,29,0,0,0,0,0,14415,15592,12270,13617,13137,1478,1605,1289,1427,1381,62612,72778,74336,55649,58841,503.5,579.2,547.6,566,542.7,8.07,7.98,7.37,10.18,9.24,12029,13375,15243,16495,19027,314.1,392.1,462.9,488.3,616.3,26.12,29.32,30.37,29.6,32.39,61810,63541,62627,62737,62678.75,62728,63530,63183,66949,64097.5,65122,65796,66377,66756,66012.75,66999,66839,67346,68042,67306.5,68591,70223,70773,71794,70345.25,1316470,1316517,1318109,1321297,1322616,1326813,9.862500408,9.371805626,9.396678333,9.313704953,8.148405125,7.957851123,8.136425064,8.17836598,1.714095283,1.413954503,1.260253269,1.135338973,1.333775648,1.444264353,1.536359177,1.529386143,-1.636664938,-0.398574528,-1.98644963,0.843200554,-0.302889291,1.045689826,-0.450090453,2.372586697
NJ,New Jersey,1,2,1,0,2395713,2411816,2241207,2311685,2340188,376845,390931,393682,403225,388386,37144.8,42752.9,39242,39447.6,39116.9,21.28,24.18,24.43,23.75,22.78,100.672159,92.92611874,103.1446448,101.2329967,103.7378763,100.7037047,102.4240377,96.31992064,115.097941,91.7879255,100.5239284,99.1616727,113.6278195,101.0339123,97.21653704,95.91578947,64370,62752,61003,65208,67456,71961,49592,25589,25910,30731,0,0,0,0,0,299.3,207.3,103.7,100.3,121.3,4.16,4.18,4.05,3.87,3.95,270160,262246,256081,254680,252031,11589,10953.9,10239.7,10152.7,10190.7,43.07,41.95,40.12,40.21,40.98,1772767,1794240,1647100,1704155,1799165,448,435,466,466,466,0,0,0,0,0,177,237,102,174,164,18,24,11,18,17,671474,677923,670970,712948,798602,6224.4,5806.1,4823,5350.9,6046.6,9.39,8.7,7.3,7.85,7.86,8532,8544,6972,7711,7881,267.2,284.5,231.5,249.1,273.6,31.32,33.3,33.21,32.3,34.72,494012,490564,493688,493696,492990,486333,496260,500251,507440,497571,511838,514685,524955,522212,518422.5,525284,527839,530134,537108,530091.25,535523,543298,549382,553294,545374.25,8791894,8803580,8842614,8876000,8911502,8938175,12.0914459,11.79719813,11.69281668,11.59012569,8.054088037,7.786726434,8.022936554,8.033646771,4.037357858,4.010471699,3.669880121,3.556478921,5.564599369,5.390037844,5.799240388,5.784530443,-5.110337107,-5.589037608,-5.120561617,-6.21512647,0.454262262,-0.198999764,0.678678771,-0.430596027
NM,New Mexico,4,8,0,0,649962,668675,666540,670257,679136,2255073,2260681,2315892,2367423,2514744,7207.1,8724.8,8855.4,8959.8,9019.7,20.02,23.51,24,23.5,23.37,102.8790914,99.68071186,100.557656,101.3247157,100.2486837,102.4422287,102.2251038,106.2228423,121.0584007,101.4968825,101.1789417,100.6685417,117.4325674,102.0842195,97.91666667,99.44680851,17663,17054,16179,17990,17189,267474,284737,263439,256377,215348,381448,405952,409050,400228,400158,550.3,584.8,575.5,592.9,812.4,2.06,2.05,2.18,2.31,3.77,76526,78618,79085,78698,78869,1833.5,1964.3,1997.5,2106.6,2205.2,24.88,25.92,26.21,27.25,28.45,737539,768020,745336,741402,711338,324,442,368,368,451,0,0,0,0,9,2117,1892,2120,876,936,217,195,223,92,98,246201,251838,249815,252867,256085,904.6,895.4,725.4,883,974.6,6.54,6.27,5.15,5.83,6.5,8501,7782,7683,8501,7187,206.1,211.2,199.8,216.4,198.1,24.24,27.14,26.01,25.46,27.56,84836,84817,86069,89057,86194.75,87089,89560,90086,91438,89543.25,90662,91760,90520,89199,90535.25,90634,91127,91758,91859,91344.5,92606,94601,95853,96106,94791.5,2059179,2064950,2078407,2084594,2086895,2085572,13.41810517,12.98678525,12.896594,12.84851384,7.916768939,7.91160031,7.99570609,8.082987834,5.501336235,5.075184945,4.900887908,4.765526007,1.067250541,1.34182048,1.283954003,1.280777056,0.030892824,-3.420128893,-5.062940355,-6.784475467,1.098143365,-2.078308413,-3.778986352,-5.503698412
NY,New York,1,2,1,1,3723729,3611091,3503309,3626150,3742892,836703,879395,817908,872500,871720,61972,66310.1,65453.9,66230.7,68056.2,23.09,25.42,25.49,24.85,24.57,96.97512896,97.01525107,103.5064278,103.2194476,105.1024079,93.00803393,106.6745893,99.91060172,107.0000968,98.70879398,101.1867895,102.7562747,110.0909485,100.2753737,97.48921146,98.87323944,120168,124402,122513,129687,134792,167094,125181,72914,68707,64655,0,0,0,0,0,540.9,447.6,266.2,236.5,218.4,3.24,3.58,3.65,3.44,3.38,493456,491487,488471,504618,502833,23735.2,22888.7,21683.2,22835.6,23950.5,48.1,46.57,44.39,45.25,47.63,2733286,2620842,2593481,2629451,2747588,1070,1283,1185,1185,1185,0,0,0,0,0,248502,272019,234593,238270,248086,25472,27997,24652,24973,26087,1224485,1247757,1260950,1315282,1386580,11722.5,11178.5,9323.4,10666,11638.1,9.7,9.1,7.5,8.22,8.56,31093,28906,26543,29634,33225,885.6,920.9,847.8,936.4,1126.1,28.48,31.86,31.94,31.6,33.89,1192082,1222396,1211590,1206249,1208079.25,1224957,1224438,1229314,1249034,1231935.75,1261237,1291600,1310497,1335920,1299813.5,1307320,1328713,1343299,1360922,1335063.5,1361112,1374748,1397614,1409631,1385776.25,19378102,19400867,19521745,19607140,19695680,19746227,12.49181324,12.26311458,12.23830758,12.20579928,7.694653175,7.507957357,7.738325138,7.827055624,4.797160067,4.75515722,4.499982444,4.378743655,5.819804694,5.627811782,6.051932151,6.023998789,-4.325454828,-5.94680886,-5.48204938,-7.804947159,1.494349865,-0.318997079,0.569882772,-1.78094837
NC,North Carolina,3,5,1,0,2685333,2558792,2481060,2530649,2554776,576162,572796,560887,606427,595660,33119.5,36145.8,36240.3,37527.2,37283.2,20.27,23.22,23.79,23.39,23.02,95.28769802,96.96216027,101.9987022,100.9533918,99.41578931,97.92090029,108.1192825,98.22451837,109.1375172,100.2614412,103.5510192,99.34980494,114.5535274,102.4547804,98.31862127,98.4181274,134325,141002,142163,148324,145560,749091,624783,534713,493771,501592,0,0,0,0,0,2651.9,2283.1,2025.9,1881.8,1805,3.54,3.65,3.79,3.81,3.6,465448,447262,437026,442809,454249,11822.8,11332.3,11720.6,11991.2,12421.6,25.4,25.34,26.82,27.08,27.35,1869784,1704725,1654828,1734549,1761282,931,903,967,967,967,0,0,0,0,0,46405,37828,35475,65838,45230,4757,3893,3728,6901,4756,308710,311189,367948,445898,460876,2742.5,2547.1,2423.1,3076.6,3500,9.12,8.38,6.69,6.96,7.66,47840,41807,36513,33150,36489,1273.9,1170.5,943.7,868.5,1033.4,26.63,28,25.85,26.2,28.32,413825,414745,416720,424212,417375.5,422165,431611,430792,430355,428730.75,439578,437297,441483,438972,439332.5,446371,449576,457455,464398,454450,464633,470025,478751,484012,474355.25,9535483,9559488,9651502,9748181,9848917,9943964,12.60132872,12.32638698,12.25691682,12.13557541,8.323152529,8.196525686,8.530038478,8.462638663,4.27817619,4.129861297,3.726878337,3.672936749,1.875801299,2.473442478,2.260640836,2.140971797,3.172142612,3.299538451,3.88690203,3.663640478,5.047943911,5.77298093,6.147542866,5.804612275
ND,North Dakota,2,4,0,0,476072,528508,552326,594439,640095,1253749,1518406,2135154,2634178,3261360,4555.5,6480.9,7095.5,7748.7,8209.6,13.79,17.34,18.3,18.49,18.51,111.0143004,104.5066489,107.6246637,107.6805189,121.1092491,140.6181219,123.3718036,123.8094009,142.2653935,109.4832508,109.2058347,105.9480945,125.7432922,105.5363322,101.0382514,100.1081666,25305,27145,25455,26067,26745,409684,394771,406344,393193,399195,377669,367624,366826,369479,389673,721.7,767.4,873.9,852.1,866,1.76,1.94,2.15,2.17,2.17,44207,46871,50214,54704,62234,913.3,1021.1,1139.8,1298.9,1511,20.87,22.02,22.99,24.07,24.7,622237,652742,678850,701050,723128,906,1001,978,978,978,0,0,0,0,0,19923,25068,23573,17674,24073,2042,2580,2477,1852,2531,70046,77752,77469,88285,90629,269.4,296.1,241.4,279.8,363,6.04,5.8,5.16,5.08,6.47,9541,9405,9057,12682,10982,187,220.6,194.2,286.6,287.7,19.79,23.52,21.52,22.63,26.57,34512,35525,36322,37773,36033,39583,40597,42507,45804,42122.75,49138,52015,53390,54246,52197.25,52976,53631,55555,55603,54441.25,55510,58566,59054,59790,58230,672591,674345,685242,701705,723857,739482,13.53499261,14.25865588,14.49112701,14.73342814,8.905645612,8.559807981,8.09785895,8.035048611,4.629347,5.698847901,6.393268059,6.698379528,1.534289457,2.214936836,1.915034211,1.763091122,9.145424309,15.58963681,23.1894509,12.26510057,10.67971377,17.80457364,25.10448511,14.02819169
OH,Ohio,2,3,0,1,3824933,3792585,3655849,3739974,3809648,1032440,1067943,1067944,1149882,1547368,45104.2,50635.8,49523.1,50067,51385.5,18.18,20.58,20.71,20.02,20.01,99.15428584,96.39464903,102.3011071,101.8629541,103.438747,100.0000936,107.6724997,134.5675469,112.2640464,97.80254286,101.0982754,102.6334711,113.2013201,100.6316812,96.6682762,99.95004995,110645,115650,115615,126808,129920,1355137,1222606,1019140,1104486,1057377,644947,679187,642149,612270,541830,3392.6,3382.4,2940.6,2853,2567.7,2.5,2.77,2.89,2.58,2.43,525944,527994,520183,512848,514119,13976.9,13856.1,13788.3,13715,14538.3,26.89,26.56,26.84,27.08,28.62,3304252,3188336,2984206,3170468,3208044,3241,3372,3435,3435,3435,0,0,0,0,0,4186,3728,3941,5240,4546,429,384,414,549,478,810958,849076,869934,954374,1044986,6742.5,6576.7,5388.4,6029.9,7437.8,8.72,8.08,6.42,6.54,7.41,29374,29302,23914,26992,27457,699.8,757.8,609.6,738.4,843.4,23.96,25.95,25.57,27.53,31.78,481204,490593,499519,507629,494736.25,505142,515909,528077,538352,521870,537428,546807,548386,545586,544551.75,553984,554703,558693,568496,558969,572004,583701,598002,601604,588827.75,11536504,11540070,11544757,11550901,11572005,11594163,11.95027366,11.92449247,11.96545106,11.91383918,9.593314258,9.653762625,9.621109042,9.603055628,2.3569594,2.270729849,2.344342013,2.310783553,1.368604582,1.441829456,1.518580753,1.513931868,-3.188587898,-3.204065457,-1.912302891,-1.574969153,-1.819983316,-1.762236001,-0.393722139,-0.061037285
OK,Oklahoma,3,7,0,0,1579910,1585212,1561913,1620837,1679856,2576077,2704301,2950525,3137443,3572829,17066.4,19766.9,19780.9,19581.1,20496.9,17.16,19.91,20.34,19.87,19.97,100.3355887,98.53022813,103.7725533,103.6412668,104.977491,109.1049036,106.335076,113.8770967,115.8234894,100.0708255,98.98993474,104.6769589,116.025641,102.1597187,97.6892822,100.5032713,39320,39133,41310,42616,42870,346047,378320,327089,335925,336080,17580,19094,22004,25054,20607,614.8,686.1,666.2,697.9,680,1.78,1.81,2.04,2.08,2.02,197370,204197,202470,204478,210088,4362.9,4636.6,4442,4629.3,4944.3,22.3,22.91,22.16,23.23,24.15,1571983,1576848,1567142,1537652,1543910,23,23,24,24,24,0,0,0,0,0,27403,14641,10901,20781,13585,2809,1507,1146,2178,1428,697351,676910,712411,682277,665799,3916.8,3500.1,3102.3,3146.3,3454.2,6.73,6.27,5.3,5.9,6.93,11435,10418,8764,10666,10596,244,244.3,192.2,253.3,285.6,21.41,23.51,21.99,23.75,26.95,147464,150440,152581,154785,151317.5,156530,164818,168209,171553,165277.5,170727,171751,172707,180461,173911.5,177684,182001,183878,186226,182447.25,187846,191061,193172,188603,190170.5,3751351,3759481,3786527,3817059,3853118,3878051,13.93186967,13.77034468,13.82627806,13.73427486,9.975075563,9.716731027,9.679828771,9.753505582,3.956794109,4.05361365,4.146449293,3.980769273,1.332890185,1.604769118,1.508700516,1.472222377,1.674262736,2.350732931,3.599656175,1.132299656,3.007152921,3.955502049,5.108356691,2.604522033
OR,Oregon,4,9,1,0,975067,1002476,975044,991867,987145,393763,513597,496254,458848,479935,12716.1,14924.3,14994.4,14882.5,14866.2,19.2,22.37,22.78,22.2,22.29,102.8109863,97.26357539,101.725358,99.52392811,130.433027,96.62322794,92.46232776,104.5956395,117.3653872,100.4697038,99.25372139,99.89047539,116.5104167,101.8328118,97.45390694,100.4054054,59498,57460,61814,71299,72449,42556,35135,28259,38900,34238,0,0,0,0,0,72.7,64.7,55.6,78.4,87.3,1.71,1.84,1.97,2.01,2.55,157041,160949,159302,162551,161507,3478.4,3792.9,3834.9,4018.9,4110,22.15,23.57,24.07,24.72,25.45,628380,572458,575060,608017,588438,1114,1286,1476,2803,2977,0,0,26,165,183,297970,411131,375027,315785,335341,30542,42315,39410,33098,35262,242914,203607,220578,244025,225576,1677,1477.5,1337.9,1495.3,1498.4,7.09,7.45,6.2,6.23,6.76,5956,6208,5689,6013,6029,142.8,170.6,138.2,150.5,159.4,23.98,27.48,24.3,25.04,26.44,189636,189866,192428,193642,191393,201093,200090,198757,201130,200267.5,200835,199009,196294,191791,196982.25,195489,196760,198053,200629,197732.75,199042,201983,205688,206599,203328,3831074,3837083,3867644,3898684,3928068,3970239,11.78133891,11.56531117,11.50157818,11.44776976,8.448320103,8.479683063,8.355956596,8.430920702,3.333018808,3.085628112,3.145621581,3.016849054,1.571243212,1.55646272,1.728175366,1.737587562,2.957664821,3.376112881,2.489666212,5.740470711,4.528908033,4.932575601,4.217841577,7.478058273
PA,Pennsylvania,1,2,0,1,3752280,3725014,3623997,3826959,3902434,3064745,3870671,4730336,5873742,7087392,49095.9,55448.9,54238.3,54519.6,55665.8,19.74,22.8,22.97,21.67,21.44,99.27334847,97.28814442,105.6005013,101.9721925,126.2966739,122.2097151,124.1717713,120.6622967,112.9399807,97.81672856,100.5186372,102.1023632,115.5015198,100.745614,94.34044406,98.93862483,132240,143718,141507,154219,148961,1310670,1212984,1093178,1126118,1039161,1485775,1511491,1390644,1379262,1566449,3607.2,3685.4,3282.6,3358.7,3006.4,2.75,3.04,3,2.98,2.89,508265,507560,493750,499018,500498,15222.4,15382.9,14218.8,14242.2,14984.4,30.29,30.73,29.12,28.82,30.2,3469617,3412240,3324396,3472175,3486721,2018,2180,2162,2162,2162,0,0,0,0,0,22753,31258,21334,24088,25117,2332,3217,2242,2525,2641,909263,1000509,1079497,1176660,1257090,7209.8,7437.4,6576.7,7570.5,8819.3,8.73,8.51,7.09,7.63,8.19,55261,57268,48347,48235,48546,1554.5,1744.2,1456.2,1422.2,1516,28.19,30.46,30.12,29.49,31.23,573308,583501,594801,601493,588275.75,592926,603502,613422,619763,607403.25,621577,625166,630212,628307,626315.5,635227,644116,647403,654784,645382.5,660783,668407,677943,682520,672413.25,12702379,12711077,12743995,12770043,12781296,12787209,11.23288907,11.13990659,11.15284017,11.10991824,10.0379995,9.843208668,10.00495512,10.05925063,1.194889569,1.29669792,1.147885048,1.050667609,2.125548889,2.155754413,2.272757604,2.273109046,-0.546767261,-1.358703001,-2.483940274,-2.459901351,1.578781628,0.797051412,-0.21118267,-0.186792306
RI,Rhode Island,1,1,1,0,195314,185731,183879,199165,204459,3399,3419,2822,2627,4304,3689.9,3907.3,3844,4008,4203.7,23.63,26.16,26.59,26.21,26.34,95.09354168,99.00285897,108.3130754,102.6580976,100.5884084,82.53875402,93.09000709,163.8370765,105.8917586,98.37995547,104.2663892,104.8827345,110.7067287,101.6437309,98.57089131,100.4959939,6691,6265,5609,5458,7068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26611,26383,26301,26549,26078,1097.7,1008.3,982.1,1067.3,1178,41.25,38.22,37.34,40.2,45.17,184732,185371,178036,171472,178774,20,127,57,57,57,0,0,0,0,0,36,72,41,42,38,4,7,4,4,4,95710,102465,98435,88274,91259,840.2,813.1,670.3,755.2,854.7,8.92,8.02,6.88,8.67,9.67,1342,1469,1455,1711,1970,41.6,53.3,52.5,58.7,75.7,31.03,36.27,36.1,34.31,38.4,48642,49231,49736,49706,49328.75,48782,50259,50220,50464,49931.25,51191,51751,51897,51128,51491.75,52705,52338,52892,53299,52808.5,53956,54747,55442,56248,55098.25,1052567,1053078,1052020,1052637,1053354,1055173,10.45272002,10.45871132,10.29918931,10.35604477,9.27367752,8.850848381,8.925964071,9.051816742,1.179042496,1.607862944,1.373225242,1.304228023,3.780346568,3.993999972,4.106380322,4.069191431,-5.839158082,-5.02599711,-4.874664707,-3.212669318,-2.058811514,-1.031997138,-0.768284385,0.856522112
SC,South Carolina,3,5,1,0,1643912,1601881,1558766,1590456,1632085,649978,661898,646738,690644,675110,18661.9,21119.1,20946,21735.9,21875.7,18.52,21.36,21.83,21.99,21.74,97.44323297,97.30847672,102.0330184,102.6174254,101.8339082,97.70961689,106.7888388,97.75079491,113.1669337,99.1803628,103.7711258,100.6431756,115.3347732,102.2003745,100.7329363,98.8631196,101716,111632,117091,113934,122321,404966,366160,298572,257319,305656,0,0,0,0,0,1500.1,1410.6,1189.5,968.4,1115.3,3.7,3.85,3.98,3.76,3.65,281419,274627,265389,268190,278487,7003.9,7081.3,7079.7,7264.7,7889.8,24.89,25.78,26.68,27.09,28.33,1124533,1077992,1012652,975757,1021676,624,605,648,648,648,0,0,0,0,0,23185,15100,13515,30152,24432,2376,1554,1420,3160,2569,225961,235465,250482,236710,235860,1547.6,1432.6,1268.9,1458.2,1596,6.96,6.18,5.14,6.23,6.84,11209,9625,8411,8755,9741,306.3,274.1,214.3,227.7,274.8,27.32,28.47,25.48,26.01,28.21,161663,164812,166577,167896,165237,167821,171689,171863,173238,171152.75,175203,176012,176006,174515,175434,178386,177835,182201,185001,180855.75,183944,189468,191456,193754,189655.5,4625364,4636290,4673054,4722621,4771929,4832482,12.34737915,12.24478284,12.01531405,11.95304949,9.030496671,8.958164262,9.263840835,9.210351369,3.316882479,3.286618577,2.751473214,2.742698121,1.101688798,1.616488438,1.379317609,1.310647785,3.191202302,5.613008113,5.954363293,8.040888713,4.2928911,7.22949655,7.333680901,9.351536497
SD,South Dakota,2,4,0,0,378514,378470,375950,389619,391857,225387,248370,248616,236679,249789,3877.3,4596.4,4786.1,4771.3,4819.4,17.21,20.43,21.05,20.33,20.32,99.9883756,99.33416123,103.6358558,100.5744073,110.1971276,100.0990458,95.19861956,105.539148,118.5464112,104.127143,99.69077119,101.008111,118.7100523,103.0347528,96.57957245,99.95081161,63943,62472,58812,61515,62730,39061,32112,35574,34246,33062,0,0,0,0,0,77.8,69,80,71.2,71.7,1.99,2.15,2.25,2.08,2.17,38747,39851,40037,41660,42154,888.3,939.8,996.3,1081.4,1118.2,22.93,23.58,24.88,25.96,26.53,226232,218924,225164,231578,230463,1716,1962,1868,1868,1868,0,0,0,0,0,51110,64205,56915,38761,52288,5239,6608,5981,4063,5498,72926,73973,71501,83871,83464,441.1,451,376.1,462,549.3,6.63,6.77,5.87,6.09,7.11,7707,6744,6231,7501,6694,148.8,157.6,136,175,176.1,19.31,23.37,21.83,23.32,26.3,37081,37423,38593,39078,38043.75,41616,42145,42358,43694,42453.25,43595,43668,41457,44314,43258.5,44856,44755,44930,45097,44909.5,44139,45713,46060,46488,45600,814180,816192,824171,834504,845510,853175,14.37364778,14.35121407,14.47368891,14.38406768,8.898030497,8.960163986,8.14159882,8.115689489,5.475617287,5.391050085,6.33209009,6.268378187,1.5411223,1.815907275,1.751175883,1.706025543,2.449457833,5.243944715,5.197575735,0.661688306,3.990580134,7.05985199,6.948751618,2.367713849
TN,Tennessee,3,6,0,0,2247273,2195401,2080953,2132508,2194512,505731,506701,468757,544916,499501,25580.6,29861.2,28787.6,29033,29614.6,18.67,22.15,22.37,21.73,21.47,97.69178022,94.78692048,102.4774707,102.9075624,100.1918016,92.51156007,116.2470107,91.66568792,116.7337748,96.40469907,100.8524504,102.0032377,118.6395287,100.993228,97.13902548,98.80349747,91516,91048,96477,98518,101449,515464,481127,423086,399768,427509,45030,38576,28372,28376,21711,1419.1,1425.4,1204.3,1052,1127.7,2.75,2.96,2.85,2.63,2.64,353215,343702,328854,330773,341948,8851.1,9277.6,8860.3,8817.5,9379,25.3,27.26,27.23,26.81,27.59,1461432,1427048,1355061,1344036,1411675,205,199,213,213,213,0,0,0,0,0,79392,93037,78942,118721,84645,8138,9576,8296,12443,8901,263365,267929,281007,285308,311966,1997,1886.9,1578.8,1850,2232.9,8.13,7.61,6.01,6.82,7.48,14037,11999,9047,9879,10383,362.6,328.9,235.1,279.2,347.7,25.9,27.45,26.06,28.43,33.49,250985,253222,254940,258225,254343,258051,263172,267737,270870,264957.5,276349,281545,282013,283465,280843,288123,286435,289779,292728,289266.25,293318,298832,302215,305696,300015.25,6346105,6356628,6398389,6455177,6497269,6549352,12.32597338,12.4956763,12.38376134,12.29007879,9.44020694,9.433179866,9.546768232,9.452869061,2.88576644,3.062496431,2.836993105,2.837209727,1.243745892,1.443646067,1.417492881,1.404195002,2.452525152,4.286281332,2.089798328,3.757448001,3.696271044,5.729927399,3.50729121,5.161643003
